a1 468.884809105815[nm]
b1 156.03416253947535[nm]
c1 312.4594858226452[nm]
x1 542.5080658441234[nm]
y1 177.5312113098687[nm]
z1 469.884809105815[nm]
theta1 -18.48624315076974[degrees]
volume1 95756481.56458257[nm^3]
a2 258.7046716518012[nm]
b2 85.50362609834293[nm]
c2 172.10414887507207[nm]
x2 1505.6193711091432[nm]
y2 353.1965681037315[nm]
z2 469.884809105815[nm]
theta2 -115.20633946517053[degrees]
volume2 15946623.967962561[nm^3]
a3 281.52896099249875[nm]
b3 176.69942772804146[nm]
c3 229.11419436027012[nm]
x3 981.1622825755264[nm]
y3 421.50405859017394[nm]
z3 469.884809105815[nm]
theta3 -53.8865572165372[degrees]
volume3 47741804.02981741[nm^3]
a4 78.40353374990038[nm]
b4 56.20165798904302[nm]
c4 67.3025958694717[nm]
x4 1622.9591136722233[nm]
y4 289.9456335322769[nm]
z4 469.884809105815[nm]
theta4 -155.31519562673208[degrees]
volume4 1242239.08574532[nm^3]
a5 216.78706711716336[nm]
b5 105.40357981117867[nm]
c5 161.09532346417103[nm]
x5 541.0368374314849[nm]
y5 411.22423982607097[nm]
z5 469.884809105815[nm]
theta5 -172.7299313546266[degrees]
volume5 15419144.32227083[nm^3]
a6 205.48226653596296[nm]
b6 113.40216791437942[nm]
c6 159.4422172251712[nm]
x6 1215.5298681480108[nm]
y6 733.8828948963511[nm]
z6 469.884809105815[nm]
theta6 -50.241819946979554[degrees]
volume6 15562796.511321366[nm^3]
a7 80.16668553979399[nm]
b7 69.97868397688218[nm]
c7 75.07268475833808[nm]
x7 1636.4390847815123[nm]
y7 639.5616488605622[nm]
z7 469.884809105815[nm]
theta7 -117.97947438848016[degrees]
volume7 1764128.6610741736[nm^3]
a8 72.83836356286281[nm]
b8 61.76490331397438[nm]
c8 67.30163343841859[nm]
x8 457.61215185993944[nm]
y8 652.8550358196376[nm]
z8 469.884809105815[nm]
theta8 -171.96834390551626[degrees]
volume8 1268282.967637766[nm^3]
a9 170.14698376482195[nm]
b9 84.92348207174084[nm]
c9 127.5352329182814[nm]
x9 971.7667669915998[nm]
y9 798.8926822694399[nm]
z9 469.884809105815[nm]
theta9 -29.098020948190406[degrees]
volume9 7719174.107215506[nm^3]
a10 159.25823141807962[nm]
b10 59.02893681069364[nm]
c10 109.14358411438663[nm]
x10 663.0599397865159[nm]
y10 840.6722014414744[nm]
z10 469.884809105815[nm]
theta10 -75.84792964232413[degrees]
volume10 4297873.910565433[nm^3]
a11 158.97707308237608[nm]
b11 89.048054194522[nm]
c11 124.01256363844904[nm]
x11 1589.015898775262[nm]
y11 980.4645383776658[nm]
z11 469.884809105815[nm]
theta11 -101.56013079421776[degrees]
volume11 7353823.901442964[nm^3]
a12 179.21719602724457[nm]
b12 86.67259528589354[nm]
c12 132.94489565656906[nm]
x12 1220.708854004536[nm]
y12 972.0451816605149[nm]
z12 469.884809105815[nm]
theta12 -142.42278298561172[degrees]
volume12 8650112.50654795[nm^3]
a13 91.21915100924028[nm]
b13 46.76469943580655[nm]
c13 68.9919252225234[nm]
x13 836.9656517174142[nm]
y13 983.4083295835208[nm]
z13 469.884809105815[nm]
theta13 -140.9061411137705[degrees]
volume13 1232795.517820175[nm^3]
a14 103.1580967270819[nm]
b14 52.259241016257306[nm]
c14 77.7086688716696[nm]
x14 491.7737872230476[nm]
y14 1141.6655900781604[nm]
z14 469.884809105815[nm]
theta14 -88.03353543170425[degrees]
volume14 1754787.3611933123[nm^3]
a15 98.13137829173215[nm]
b15 54.02218169967269[nm]
c15 76.07677999570242[nm]
x15 1117.1041020598543[nm]
y15 1153.3704796241668[nm]
z15 469.884809105815[nm]
theta15 -149.96671956400485[degrees]
volume15 1689354.3320247165[nm^3]
*****************
total_volume 227399422.7472221[nm^3]
cube_length 1735.4465141638345[nm]
