a1 592.6106768073944[nm]
b1 392.18865706413135[nm]
c1 492.39966693576287[nm]
x1 1011.0425525358969[nm]
y1 468.29358476613055[nm]
z1 493.39966693576287[nm]
theta1 -135.9495668564358[degrees]
a2 770.9584483046708[nm]
b2 187.55714721254304[nm]
c2 479.2577977586069[nm]
x2 6717.96395325807[nm]
y2 556.563534504711[nm]
z2 493.39966693576287[nm]
theta2 -45.36493633573065[degrees]
a3 247.59863493001006[nm]
b3 207.04333124998055[nm]
c3 227.3209830899953[nm]
x3 6079.338954338955[nm]
y3 1488.6039886039887[nm]
z3 493.39966693576287[nm]
theta3 -76.48343189120868[degrees]
a4 489.2973181709389[nm]
b4 459.58256615824547[nm]
c4 474.4399421645922[nm]
x4 7798.030752392049[nm]
y4 2633.6766938530523[nm]
z4 493.39966693576287[nm]
theta4 -159.5074052301297[degrees]
a5 335.64814814814815[nm]
b5 257.8603961100467[nm]
c5 296.75427212909744[nm]
x5 5808.293650793651[nm]
y5 3909.3518518518517[nm]
z5 493.39966693576287[nm]
theta5 -53.13010235415598[degrees]
a6 416.38364873698885[nm]
b6 293.99059478438[nm]
c6 355.1871217606844[nm]
x6 7538.177083333333[nm]
y6 4035.2199074074074[nm]
z6 493.39966693576287[nm]
theta6 -41.84515713520803[degrees]
a7 574.7317394745104[nm]
b7 293.62584204493663[nm]
c7 434.1787907597235[nm]
x7 6043.65389627313[nm]
y7 5444.270697593606[nm]
z7 493.39966693576287[nm]
theta7 -107.34025823106899[degrees]
a8 343.50635148663525[nm]
b8 318.7811820730573[nm]
c8 331.14376677984626[nm]
x8 1391.6494954298091[nm]
y8 5579.740582237016[nm]
z8 493.39966693576287[nm]
theta8 -50.19442890773481[degrees]
a9 498.8466206763553[nm]
b9 360.0783546226628[nm]
c9 429.46248764950906[nm]
x9 5005.237657512735[nm]
y9 6086.220268872802[nm]
z9 493.39966693576287[nm]
theta9 -33.83754668421933[degrees]
a10 324.1071411701322[nm]
b10 278.9519935000297[nm]
c10 301.52956733508097[nm]
x10 8325.857390623252[nm]
y10 8150.0853194584315[nm]
z10 493.39966693576287[nm]
theta10 -45.57872556560776[degrees]
a11 278.2884965487892[nm]
b11 266.47530428070667[nm]
c11 272.381900414748[nm]
x11 1129.0972222222222[nm]
y11 8173.132716049384[nm]
z11 493.39966693576287[nm]
theta11 -78.97046877601952[degrees]
a12 423.76919737926005[nm]
b12 270.1201435941212[nm]
c12 346.9446704866906[nm]
x12 4200.211575211575[nm]
y12 8654.722904722905[nm]
z12 493.39966693576287[nm]
theta12 -114.18493403363269[degrees]
a13 805.1596781625494[nm]
b13 157.832351238248[nm]
c13 481.49601470039875[nm]
x13 3331.270128824477[nm]
y13 9251.50630703167[nm]
z13 493.39966693576287[nm]
theta13 -176.0434804154554[degrees]
*****************
total_particles 13
total_volume_ellipsoids 2958473085.580525[nm^3]
x_length_prism 8231.532656064883[nm]
y_length_prism 10271.06089899418[nm]
z_length_prism 986.7993338715257[nm]
x_position_prism 418.4318757285025[nm]
y_position_prism -214.3949137999598[nm]
volume_fraction 0.03546032938192431
