a2 247.93453292766495[nm]
b2 161.42378881656913[nm]
c2 204.67916087211705[nm]
x2 87.5632761571798[nm]
y2 106.51516806875706[nm]
z2 100[nm]
a3 239.27868214300136[nm]
b3 133.11158368576392[nm]
c3 186.19513291438264[nm]
x3 350.0320312267215[nm]
y3 64.98763445666101[nm]
z3 100[nm]
a5 380.11708300088094[nm]
b5 220.30244270556983[nm]
c5 300.20976285322536[nm]
x5 988.0337444360387[nm]
y5 134.7833353859146[nm]
z5 100[nm]
a6 311.5949184726056[nm]
b6 269.7025159290168[nm]
c6 290.64871720081123[nm]
x6 1308.0470925048676[nm]
y6 136.10910612796982[nm]
z6 100[nm]
a8 348.7006412487636[nm]
b8 127.2922027423669[nm]
c8 237.99642199556524[nm]
x8 595.0418658119172[nm]
y8 119.18992113589172[nm]
z8 100[nm]
a9 303.17194353614286[nm]
b9 178.24775158322447[nm]
c9 240.70984755968368[nm]
x9 204.7377980445956[nm]
y9 300.18218053539[nm]
z9 100[nm]
a10 262.2397310866906[nm]
b10 206.3484557127416[nm]
c10 234.2940933997161[nm]
x10 852.4209898945822[nm]
y10 268.93768059642724[nm]
z10 100[nm]
a11 132.00383973607345[nm]
b11 96.52916263379386[nm]
c11 114.26650118493365[nm]
x11 1187.7646714868831[nm]
y11 285.23124669687735[nm]
z11 100[nm]
a12 137.83736263672594[nm]
b12 89.83935506697686[nm]
c12 113.83835885185141[nm]
x12 491.71620252680674[nm]
y12 370.8576234255242[nm]
z12 100[nm]
a15 679.8038625703081[nm]
b15 322.20775918876825[nm]
c15 501.00581087953816[nm]
x15 1418.9883893350807[nm]
y15 680.6224422354744[nm]
z15 100[nm]
a16 384.394871634453[nm]
b16 218.94921312797672[nm]
c16 301.67204238121485[nm]
x16 1111.957586630919[nm]
y16 527.7380208438326[nm]
z16 100[nm]
a17 112.76503313501186[nm]
b17 104.10931801665659[nm]
c17 108.43717557583423[nm]
x17 97.47255701944097[nm]
y17 430.8471960814113[nm]
z17 100[nm]
a21 146.0042900788697[nm]
b21 123.97279403647698[nm]
c21 134.98854205767333[nm]
x21 167.63389296070724[nm]
y21 494.587036289755[nm]
z21 100[nm]
a22 193.22457137528434[nm]
b22 129.51229927887144[nm]
c22 161.3684353270779[nm]
x22 1379.6184791265061[nm]
y22 530.427889875481[nm]
z22 100[nm]
a23 268.49767530578[nm]
b23 203.828191261611[nm]
c23 236.1629332836955[nm]
x23 366.5439418325423[nm]
y23 630.0818108426363[nm]
z23 100[nm]
a24 336.2005021778769[nm]
b24 172.9381065334124[nm]
c24 254.56930435564465[nm]
x24 1596.4917825537295[nm]
y24 967.5272957131365[nm]
z24 100[nm]
