a11 116.02036542706114[nm]
c11 82.18604172899073[nm]
b11 48.35171803092032[nm]
x11 1592.000076371586[nm]
y11 669.0656891103665[nm]
z11 90.17139029227519[nm]
theta11 -158.5232090204596[degrees]
volume11 1931224.7237181044[nm^3]
a13 96.70950969884792[nm]
c13 89.17139029227519[nm]
b13 81.63327088570244[nm]
x13 1426.6070706616954[nm]
y13 823.5928305107589[nm]
z13 90.17139029227519[nm]
theta13 -40.17478307289019[degrees]
volume13 2948835.3685002713[nm^3]
a14 79.5734674483146[nm]
c14 62.496886468455514[nm]
b14 45.42030548859642[nm]
x14 1630.8948717468988[nm]
y14 992.4956500589346[nm]
z14 90.17139029227519[nm]
theta14 -35.722860662065294[degrees]
volume14 946161.6147753564[nm^3]
