a1 223.38078269592663[nm]
b1 64.1577662314756[nm]
c1 143.76927446370112[nm]
x1 1307.4782824416052[nm]
y1 1170.393974259721[nm]
z1 188.096564123485[nm]
theta1 -24.33124191693506[degrees]
a2 215.46809899325092[nm]
b2 125.21498467761052[nm]
c2 170.34154183543072[nm]
x2 474.1197588897193[nm]
y2 191.32261421656622[nm]
z2 188.096564123485[nm]
theta2 -51.670952674253876[degrees]
a3 102.42765517094033[nm]
b3 56.70626316318866[nm]
c3 79.5669591670645[nm]
x3 59.70779946183811[nm]
y3 240.06974733590437[nm]
z3 188.096564123485[nm]
theta3 -108.90457584261165[degrees]
a4 140.84425969793108[nm]
b4 94.80701594160583[nm]
c4 117.82563781976845[nm]
x4 213.28322448506398[nm]
y4 277.467248908297[nm]
z4 188.096564123485[nm]
theta4 -50.60927444644581[degrees]
a5 157.51466622497483[nm]
b5 80.15813722723544[nm]
c5 118.83640172610514[nm]
x5 530.2187199984792[nm]
y5 448.37979905516005[nm]
z5 188.096564123485[nm]
theta5 -130.6711249328096[degrees]
a6 170.96202255724597[nm]
b6 93.1266147332835[nm]
c6 132.04431864526475[nm]
x6 1002.8559276569214[nm]
y6 110.18786581151555[nm]
z6 188.096564123485[nm]
theta6 -2.5217596524536074[degrees]
a7 232.96911895039875[nm]
b7 104.74302787003776[nm]
c7 168.85607341021824[nm]
x7 1351.1030476214455[nm]
y7 359.49407721648055[nm]
z7 188.096564123485[nm]
theta7 -164.35356188433704[degrees]
a8 161.32490932447112[nm]
b8 104.24557144150363[nm]
c8 132.78524038298738[nm]
x8 879.1108326185548[nm]
y8 433.1239503027751[nm]
z8 188.096564123485[nm]
theta8 -105.10350645777817[degrees]
a9 111.45261473676882[nm]
b9 56.833867504994075[nm]
c9 84.14324112088144[nm]
x9 403.1170270152061[nm]
y9 606.7472408916622[nm]
z9 188.096564123485[nm]
theta9 -151.8070877357302[degrees]
a10 248.95938172505805[nm]
b10 125.23374652191191[nm]
c10 187.096564123485[nm]
x10 1476.8228329501965[nm]
y10 783.4233048457241[nm]
z10 188.096564123485[nm]
theta10 -113.23870423837512[degrees]
a11 185.75482634224318[nm]
b11 100.66152871296889[nm]
c11 143.20817752760604[nm]
x11 684.185643720754[nm]
y11 866.2352770643703[nm]
z11 188.096564123485[nm]
theta11 -176.44920608966152[degrees]
a12 168.12121441482188[nm]
b12 140.18241028230673[nm]
c12 154.1518123485643[nm]
x12 1129.6986632759758[nm]
y12 995.281936191375[nm]
z12 188.096564123485[nm]
theta12 -169.84351797708516[degrees]
a13 175.32177325060945[nm]
b13 104.59338420783868[nm]
c13 139.95757872922405[nm]
x13 931.0509534018778[nm]
y13 1127.2377670978424[nm]
z13 188.096564123485[nm]
theta13 -147.9946167919165[degrees]
a14 100.56228479109764[nm]
b14 44.428833154199005[nm]
c14 72.49555897264833[nm]
x14 1231.8214334514882[nm]
y14 1219.2929999276603[nm]
z14 188.096564123485[nm]
theta14 -24.986433204779875[degrees]
a15 178.62191202086638[nm]
b15 86.53808502481392[nm]
c15 132.57999852284016[nm]
x15 1562.5046065853287[nm]
y15 1172.1929311641024[nm]
z15 188.096564123485[nm]
theta15 -41.78676775828062[degrees]
a16 123.96726646383247[nm]
