a1 123.96726646383247[nm]
b1 81.9253493320857[nm]
c1 102.94630789795909[nm]
x1 87.49943038378461[nm]
y1 106.50273871476355[nm]
z1 160.58574587952995[nm]
theta1 -139.48743277847583[degrees]
a2 170.16668275396214[nm]
b2 94.3951374836566[nm]
c2 147.74406152044696[nm]
x2 982.3306783109031[nm]
y2 136.6318612002067[nm]
z2 160.58574587952995[nm]
theta2 -150.27166383095857[degrees]
a3 138.09651091886911[nm]
b3 112.78692946389248[nm]
c3 141.5206014837699[nm]
x3 1308.1000479831878[nm]
y3 135.67944801112725[nm]
z3 160.58574587952995[nm]
theta3 -50.0694201326125[degrees]
a4 76.34506657937679[nm]
b4 33.6981110878934[nm]
c4 100[nm]
x4 1634.3179951335183[nm]
y4 32.96653906358973[nm]
z4 160.58574587952995[nm]
theta4 -149.71965971749324[degrees]
a5 56.661568524944876[nm]
b5 37.691081448727076[nm]
c5 100[nm]
x5 364.45380756439886[nm]
y5 191.7070627360352[nm]
z5 160.58574587952995[nm]
theta5 -70.23283132320836[degrees]
a6 152.2257328431097[nm]
b6 68.40974264538572[nm]
c6 123.21347515256554[nm]
x6 873.3272361127214[nm]
y6 301.4242592091647[nm]
z6 160.58574587952995[nm]
theta6 -109.14226819146627[degrees]
a7 62.37180474994612[nm]
b7 46.915736439220964[nm]
c7 100[nm]
x7 1179.7277222469813[nm]
y7 288.47435326075424[nm]
z7 160.58574587952995[nm]
theta7 -35.78897345918333[degrees]
a8 71.7155496136407[nm]
b8 67.16487685467686[nm]
c8 100[nm]
x8 488.3303968285749[nm]
y8 372.318103551836[nm]
z8 160.58574587952995[nm]
theta8 -31.63066141213117[degrees]
a9 117.28481865895743[nm]
b9 58.16808419964625[nm]
c9 125.96896376406386[nm]
x9 1486.0723239635392[nm]
y9 487.13784057513817[nm]
z9 160.58574587952995[nm]
theta9 -5.276202086531967[degrees]
a10 221.08401655494467[nm]
b10 98.08747520411526[nm]
c10 159.58574587952995[nm]
x10 1129.7810667779265[nm]
y10 531.8540152396847[nm]
z10 160.58574587952995[nm]
theta10 -161.20242450311548[degrees]
a11 123.51639614086699[nm]
b11 80.23439863349911[nm]
c11 146.2858468891542[nm]
x11 1554.1313185448557[nm]
y11 658.0014204607348[nm]
z11 160.58574587952995[nm]
theta11 -115.09461189548601[degrees]
a12 172.5737461551135[nm]
b12 136.5587376351174[nm]
c12 154.56624189511547[nm]
x12 1364.3481416773225[nm]
y12 810.4160600267555[nm]
z12 160.58574587952995[nm]
theta12 -137.59784533583448[degrees]
a13 183.60432725245082[nm]
b13 103.78157994769504[nm]
c13 143.69295360007294[nm]
x13 358.90591760361036[nm]
y13 580.9711969241743[nm]
z13 160.58574587952995[nm]
theta13 -93.86918457636541[degrees]
a14 168.10025108893845[nm]
b14 90.00700453942589[nm]
c14 129.05362781418216[nm]
x14 1597.229072972581[nm]
y14 966.7691861308574[nm]
z14 160.58574587952995[nm]
theta14 -58.234413576138266[degrees]
a15 66.6381083269946[nm]
b15 42.92263473549655[nm]
c15 100[nm]
x15 1181.6658785381342[nm]
y15 951.8036884415322[nm]
z15 160.58574587952995[nm]
theta15 -52.8257451664089[degrees]
a16 123.1913323389253[nm]
b16 68.51890986002611[nm]
c16 101.81321524459312[nm]
x16 369.11412241887905[nm]
y16 67.14799304677624[nm]
z16 160.58574587952995[nm]
theta16 -172.22610785012932[degrees]
a17 142.59875046367208[nm]
b17 52.879345996202886[nm]
c17 97.73904822993748[nm]
x17 608.8475266426008[nm]
y17 92.843688280302[nm]
z17 160.58574587952995[nm]
theta17 -24.179107146689176[degrees]
a18 132.88720353330453[nm]
b18 36.84605102621835[nm]
c18 96.71178815719526[nm]
x18 191.63600426346935[nm]
y18 312.30117082055455[nm]
z18 160.58574587952995[nm]
theta18 -82.10665571775112[degrees]
a19 57.93759189891977[nm]
b19 34.61173508294868[nm]
c19 100[nm]
x19 265.83195565496453[nm]
y19 299.94651366332783[nm]
z19 160.58574587952995[nm]
theta19 -93.07333251107335[degrees]
a20 221.08401655494467[nm]
b20 98.08747520411526[nm]
c20 159.58574587952995[nm]
x20 1129.7810667779265[nm]
y20 531.8540152396847[nm]
z20 160.58574587952995[nm]
theta20 -161.20242450311548[degrees]
a21 179.81109376335763[nm]
b21 102.30731588206727[nm]
c21 169.0316101889103[nm]
x21 474.1197588897193[nm]
y21 191.32261421656622[nm]
z21 502.7714748884929[nm]
theta21 -51.670952674253876[degrees]
a22 94.51457537167768[nm]
b22 52.54953020151778[nm]
c22 79.68840485415728[nm]
x22 59.70779946183811[nm]
y22 240.06974733590437[nm]
z22 502.7714748884929[nm]
theta22 -108.90457584261165[degrees]
a23 123.59379885366074[nm]
b23 79.99208394622745[nm]
c23 116.00057290030742[nm]
x23 213.28322448506398[nm]
y23 277.467248908297[nm]
z23 502.7714748884929[nm]
theta23 -50.60927444644581[degrees]
a24 138.22243104308092[nm]
b24 64.98388101432118[nm]
c24 115.78429845642631[nm]
x24 530.2187199984792[nm]
y24 448.37979905516005[nm]
z24 502.7714748884929[nm]
theta24 -130.6711249328096[degrees]
a25 56.58529150736757[nm]
b25 16.959086634280354[nm]
c25 100[nm]
x25 808.1975973665085[nm]
y25 16.46145953571887[nm]
z25 502.7714748884929[nm]
theta25 -173.26398878588066[degrees]
a26 170.96202255724597[nm]
b26 93.0056498527612[nm]
c26 131.98383620500357[nm]
x26 1002.8559276569214[nm]
y26 110.18786581151555[nm]
z26 502.7714748884929[nm]
theta26 -2.5217596524536074[degrees]
a27 161.32490932447112[nm]
b27 108.73978204373621[nm]
c27 135.03234568410366[nm]
x27 879.1108326185548[nm]
y27 433.1239503027751[nm]
z27 502.7714748884929[nm]
theta27 -105.10350645777817[degrees]
a28 111.45261473676882[nm]
b28 54.242806799015774[nm]
c28 82.8477107678923[nm]
x28 403.1170270152061[nm]
y28 606.7472408916622[nm]
z28 502.7714748884929[nm]
theta28 -151.8070877357302[degrees]
a29 67.29301531316702[nm]
b29 34.98934198844109[nm]
c29 100[nm]
x29 735.1671649257376[nm]
y29 615.4194309127074[nm]
z29 502.7714748884929[nm]
theta29 -166.6947634939089[degrees]
a30 28.556111150907174[nm]
b30 17.27931344227136[nm]
c30 100[nm]
x30 46.64090739125016[nm]
y30 669.1237691636545[nm]
z30 502.7714748884929[nm]
theta30 -12.528807709151511[degrees]
a31 89.11342132236088[nm]
b31 68.61203715818327[nm]
c31 89.86990302608945[nm]
x31 1084.5440494590418[nm]
y31 800.4705174323974[nm]
z31 502.7714748884929[nm]
theta31 -154.9981883271618[degrees]
a32 185.75482634224318[nm]
b32 101.07496467776365[nm]
c32 143.41489551000342[nm]
x32 684.185643720754[nm]
y32 866.2352770643703[nm]
z32 502.7714748884929[nm]
theta32 -176.44920608966152[degrees]
a33 144.59405504990696[nm]
b33 119.06563316137249[nm]
c33 153.28011569705995[nm]
x33 1129.6986632759758[nm]
y33 995.281936191375[nm]
z33 502.7714748884929[nm]
theta33 -169.84351797708516[degrees]
a34 171.83286996292233[nm]
b34 100.71852790318458[nm]
c34 139.0426476207055[nm]
x34 931.0509534018778[nm]
y34 1127.2377670978424[nm]
z34 502.7714748884929[nm]
theta34 -147.9946167919165[degrees]
a35 42.30236602731724[nm]
b35 16.10643780814274[nm]
c35 100[nm]
x35 19.211246644874965[nm]
y35 943.394722155784[nm]
z35 502.7714748884929[nm]
theta35 -105.78075330951539[degrees]
a36 178.62191202086638[nm]
b36 86.16965528385154[nm]
c36 132.39578365235894[nm]
x36 1562.5046065853287[nm]
y36 1172.1929311641024[nm]
z36 502.7714748884929[nm]
theta36 -41.78676775828062[degrees]
a37 94.78739539097947[nm]
b37 41.755003339251616[nm]
c37 100[nm]
x37 115.57719879369161[nm]
y37 43.55366589212439[nm]
z37 502.7714748884929[nm]
theta37 -12.673860005623133[degrees]
a38 179.81109376335763[nm]
b38 102.30731588206727[nm]
c38 169.0316101889103[nm]
x38 474.1197588897193[nm]
y38 191.32261421656622[nm]
z38 502.7714748884929[nm]
theta38 -51.670952674253876[degrees]
a39 223.0106054151975[nm]
b39 110.53802311421154[nm]
c39 166.77431426470451[nm]
x39 1357.0438584669753[nm]
y39 362.59766707096117[nm]
z39 502.7714748884929[nm]
theta39 -165.52260429120585[degrees]
a40 247.212512137026[nm]
b40 115.98745412183989[nm]
c40 181.59998312943296[nm]
x40 1481.9500998365215[nm]
y40 778.7019442483909[nm]
z40 502.7714748884929[nm]
theta40 -115.32666435424083[degrees]
a41 100.56228479109764[nm]
b41 34.64350288683785[nm]
c41 67.60289383896774[nm]
x41 1231.8214334514882[nm]
y41 1219.2929999276603[nm]
z41 502.7714748884929[nm]
theta41 -24.986433204779875[degrees]
a42 224.4727378102044[nm]
b42 128.3381973462805[nm]
c42 183.64168260311894[nm]
x42 590.8097600900303[nm]
y42 143.6509966409194[nm]
z42 869.0131406210447[nm]
theta42 -158.0978596407897[degrees]
a43 167.95575111230593[nm]
b43 116.71643778910794[nm]
c43 151.18331973463887[nm]
x43 274.6185102278307[nm]
y43 225.19127647811584[nm]
z43 869.0131406210447[nm]
theta43 -102.89875110416445[degrees]
a44 175.3002679695411[nm]
b44 108.93256994796495[nm]
c44 150.94998981037685[nm]
x44 531.7295469346958[nm]
y44 395.76119777246083[nm]
z44 869.0131406210447[nm]
theta44 -176.4576388078063[degrees]
a45 140.81933912385512[nm]
b45 100.25327740563792[nm]
c45 125.48075050274936[nm]
x45 895.5926809071046[nm]
y45 125.20427811754845[nm]
z45 869.0131406210447[nm]
theta45 -125.41705527646744[degrees]
a46 131.9603819328522[nm]
b46 72.98004481592754[nm]
c46 133.0707427662995[nm]
x46 1249.0590940578031[nm]
y46 718.6922821529141[nm]
z46 869.0131406210447[nm]
theta46 -69.59979060515747[degrees]
a47 158.96229391191767[nm]
b47 74.13584439336549[nm]
c47 116.54906915264158[nm]
x47 981.0207920417104[nm]
y47 790.0963225733151[nm]
z47 869.0131406210447[nm]
theta47 -23.28235621348973[degrees]
a48 158.88442744557406[nm]
b48 57.83935858005879[nm]
c48 140.72184604605957[nm]
x48 1196.834170366125[nm]
y48 932.3525316599155[nm]
z48 869.0131406210447[nm]
theta48 -124.78063476099481[degrees]
a49 76.00322319852704[nm]
b49 55.62212664640018[nm]
c49 100[nm]
x49 1639.8706172286322[nm]
y49 638.2556663306076[nm]
z49 869.0131406210447[nm]
theta49 -117.75854060106002[degrees]
a50 51.344595849096336[nm]
b50 43.466554655726775[nm]
c50 100[nm]
x50 483.98605187480035[nm]
y50 649.4477709395535[nm]
z50 869.0131406210447[nm]
theta50 -141.6486451832689[degrees]
a51 149.74460728754212[nm]
b51 37.93199499141202[nm]
c51 93.83830113947707[nm]
x51 680.7042163387699[nm]
y51 843.5072771154831[nm]
z51 869.0131406210447[nm]
theta51 -72.63587563186496[degrees]
a52 149.22595072034957[nm]
b52 79.26407930056513[nm]
c52 114.24501501045735[nm]
x52 1593.300358319307[nm]
y52 972.3350646936732[nm]
z52 869.0131406210447[nm]
theta52 -92.20912759530029[degrees]
a53 35.09270806884664[nm]
b53 25.970850603237505[nm]
c53 100[nm]
x53 576.4723832773878[nm]
y53 889.6486333318803[nm]
z53 869.0131406210447[nm]
theta53 -23.008870082822874[degrees]
a54 65.79245781757825[nm]
b54 34.61806193640469[nm]
c54 100[nm]
x54 815.4137448836901[nm]
y54 967.3525839278971[nm]
z54 869.0131406210447[nm]
theta54 -145.13425128739567[degrees]
a55 85.85097101315534[nm]
b55 49.56542288474494[nm]
c55 100[nm]
x55 496.4116174512939[nm]
y55 1133.0045796669485[nm]
z55 869.0131406210447[nm]
