a1 123.96726646383247[nm]
b1 81.9253493320857[nm]
c1 102.94630789795909[nm]
x1 87.49943038378461[nm]
y1 106.50273871476355[nm]
z1 196.27562743416684[nm]
theta1 -139.48743277847583[degrees]
a2 138.09651091886911[nm]
b2 112.78692946389248[nm]
c2 141.5206014837699[nm]
x2 1308.1000479831878[nm]
y2 135.67944801112725[nm]
z2 165.79188396029005[nm]
theta2 -50.0694201326125[degrees]
a3 76.34506657937679[nm]
b3 33.6981110878934[nm]
c3 100[nm]
x3 1634.3179951335183[nm]
y3 32.96653906358973[nm]
z3 141.971542141366[nm]
theta3 -149.71965971749324[degrees]
a4 56.661568524944876[nm]
b4 37.691081448727076[nm]
c4 100[nm]
x4 364.45380756439886[nm]
y4 191.7070627360352[nm]
z4 113.58877606301952[nm]
theta4 -70.23283132320836[degrees]
a5 152.2257328431097[nm]
b5 68.40974264538572[nm]
c5 123.21347515256554[nm]
x5 873.3272361127214[nm]
y5 301.4242592091647[nm]
z5 125.7946533762612[nm]
theta5 -109.14226819146627[degrees]
a6 62.37180474994612[nm]
b6 46.915736439220964[nm]
c6 100[nm]
x6 1179.7277222469813[nm]
y6 288.47435326075424[nm]
z6 174.9495806520547[nm]
theta6 -35.78897345918333[degrees]
a7 71.7155496136407[nm]
b7 67.16487685467686[nm]
c7 100[nm]
x7 488.3303968285749[nm]
y7 372.318103551836[nm]
z7 195.5118776561589[nm]
theta7 -31.63066141213117[degrees]
a8 117.28481865895743[nm]
b8 58.16808419964625[nm]
c8 125.96896376406386[nm]
x8 1486.0723239635392[nm]
y8 487.13784057513817[nm]
z8 139.17957431186016[nm]
theta8 -5.276202086531967[degrees]
a9 221.08401655494467[nm]
b9 98.08747520411526[nm]
c9 159.58574587952995[nm]
x9 1129.7810667779265[nm]
y9 531.8540152396847[nm]
z9 159.58584587952996[nm]
theta9 -161.20242450311548[degrees]
a10 123.51639614086699[nm]
b10 80.23439863349911[nm]
c10 146.2858468891542[nm]
x10 1554.1313185448557[nm]
y10 658.0014204607348[nm]
z10 166.02392152761178[nm]
theta10 -115.09461189548601[degrees]
a11 172.5737461551135[nm]
b11 136.5587376351174[nm]
c11 154.56624189511547[nm]
x11 1364.3481416773225[nm]
y11 810.4160600267555[nm]
z11 154.69246280237505[nm]
theta11 -137.59784533583448[degrees]
a12 183.60432725245082[nm]
b12 103.78157994769504[nm]
c12 143.69295360007294[nm]
x12 358.90591760361036[nm]
y12 580.9711969241743[nm]
z12 146.73660029886986[nm]
theta12 -93.86918457636541[degrees]
a13 168.10025108893845[nm]
b13 90.00700453942589[nm]
c13 129.05362781418216[nm]
x13 1597.229072972581[nm]
y13 966.7691861308574[nm]
z13 156.64797157736183[nm]
theta13 -58.234413576138266[degrees]
a14 66.6381083269946[nm]
b14 42.92263473549655[nm]
c14 100[nm]
x14 1181.6658785381342[nm]
y14 951.8036884415322[nm]
z14 124.31349170823219[nm]
theta14 -52.8257451664089[degrees]
a15 123.1913323389253[nm]
b15 68.51890986002611[nm]
c15 101.81321524459312[nm]
x15 369.11412241887905[nm]
y15 67.14799304677624[nm]
z15 140.9366382879275[nm]
theta15 -172.22610785012932[degrees]
a16 142.59875046367208[nm]
b16 52.879345996202886[nm]
c16 97.73904822993748[nm]
x16 608.8475266426008[nm]
y16 92.843688280302[nm]
z16 134.61755882351818[nm]
theta16 -24.179107146689176[degrees]
a17 132.88720353330453[nm]
b17 36.84605102621835[nm]
c17 96.71178815719526[nm]
x17 191.63600426346935[nm]
y17 312.30117082055455[nm]
z17 140.16000576947704[nm]
theta17 -82.10665571775112[degrees]
a18 57.93759189891977[nm]
b18 34.61173508294868[nm]
c18 100[nm]
x18 265.83195565496453[nm]
y18 299.94651366332783[nm]
z18 218.73023202906234[nm]
theta18 -93.07333251107335[degrees]
a19 224.4727378102044[nm]
b19 128.3381973462805[nm]
c19 183.64168260311894[nm]
x19 590.8097600900303[nm]
y19 143.6509966409194[nm]
z19 502.8133743621788[nm]
theta19 -158.0978596407897[degrees]
a20 175.3002679695411[nm]
b20 108.93256994796495[nm]
c20 150.94998981037685[nm]
x20 531.7295469346958[nm]
y20 395.76119777246083[nm]
z20 514.0136341467469[nm]
theta20 -176.4576388078063[degrees]
a21 140.81933912385512[nm]
b21 100.25327740563792[nm]
c21 125.48075050274936[nm]
x21 895.5926809071046[nm]
y21 125.20427811754845[nm]
z21 506.8889202600588[nm]
theta21 -125.41705527646744[degrees]
a22 131.9603819328522[nm]
b22 72.98004481592754[nm]
c22 133.0707427662995[nm]
x22 1249.0590940578031[nm]
y22 718.6922821529141[nm]
z22 542.041675141211[nm]
theta22 -69.59979060515747[degrees]
a23 158.88442744557406[nm]
b23 57.83935858005879[nm]
c23 140.72184604605957[nm]
x23 1196.834170366125[nm]
y23 932.3525316599155[nm]
z23 541.4447756504265[nm]
theta23 -124.78063476099481[degrees]
a24 51.344595849096336[nm]
b24 43.466554655726775[nm]
c24 100[nm]
x24 483.98605187480035[nm]
y24 649.4477709395535[nm]
z24 556.2684609058775[nm]
theta24 -141.6486451832689[degrees]
a25 149.74460728754212[nm]
b25 37.93199499141202[nm]
c25 93.83830113947707[nm]
x25 680.7042163387699[nm]
y25 843.5072771154831[nm]
z25 585.6714651442397[nm]
theta25 -72.63587563186496[degrees]
a26 149.22595072034957[nm]
b26 79.26407930056513[nm]
c26 114.24501501045735[nm]
x26 1593.300358319307[nm]
y26 972.3350646936732[nm]
z26 444.94926867389654[nm]
theta26 -92.20912759530029[degrees]
a27 35.09270806884664[nm]
b27 25.970850603237505[nm]
c27 100[nm]
x27 576.4723832773878[nm]
y27 889.6486333318803[nm]
z27 552.0374659436643[nm]
theta27 -23.008870082822874[degrees]
a28 65.79245781757825[nm]
b28 34.61806193640469[nm]
c28 100[nm]
x28 815.4137448836901[nm]
y28 967.3525839278971[nm]
z28 424.638303088538[nm]
theta28 -145.13425128739567[degrees]
a29 85.85097101315534[nm]
b29 49.56542288474494[nm]
c29 100[nm]
x29 496.4116174512939[nm]
y29 1133.0045796669485[nm]
z29 584.4726761187485[nm]
theta29 -90.88594659385424[degrees]
a30 92.58895814054318[nm]
b30 38.4752260324396[nm]
c30 100[nm]
x30 1129.8063730534404[nm]
y30 1160.727515949784[nm]
z30 550.7997639492014[nm]
theta30 -149.88152970314056[degrees]
a31 137.38343542419705[nm]
b31 62.95796051354688[nm]
c31 104.27973562879151[nm]
x31 1482.261022084031[nm]
y31 232.74899053139555[nm]
z31 455.7232853109652[nm]
theta31 -87.87234276751322[degrees]
a32 77.60411068457965[nm]
b32 20.024262830061524[nm]
c32 100[nm]
x32 1633.1200951744868[nm]
y32 285.67895308064783[nm]
z32 494.787821337318[nm]
theta32 -135.9240453527727[degrees]
a33 143.49323408986047[nm]
b33 81.84910107205081[nm]
c33 117.2929789505951[nm]
x33 1471.3678960807881[nm]
y33 459.93789484039576[nm]
z33 554.6666456682266[nm]
theta33 -21.54928447119382[degrees]
a34 79.30729349086249[nm]
b34 37.87000612527365[nm]
c34 100[nm]
x34 1659.4207368958475[nm]
y34 445.764550714772[nm]
z34 508.12381834666735[nm]
theta34 -83.27148790623133[degrees]
a35 90.31425162236573[nm]
b35 48.06438570744717[nm]
c35 100[nm]
x35 1082.094851442995[nm]
y35 278.74357570781257[nm]
z35 475.85840953297617[nm]
theta35 -84.03166780248307[degrees]
a36 203.72403360026772[nm]
b36 126.01943382890359[nm]
c36 178.67535268441964[nm]
x36 965.6452621735604[nm]
y36 481.7212358416369[nm]
z36 506.4627718694299[nm]
theta36 -3.5620086397006583[degrees]
a37 94.51457537167768[nm]
b37 52.54953020151778[nm]
c37 79.68840485415728[nm]
x37 59.70779946183811[nm]
y37 240.06974733590437[nm]
z37 937.1170064253045[nm]
theta37 -108.90457584261165[degrees]
a38 123.59379885366074[nm]
b38 79.99208394622745[nm]
c38 116.00057290030742[nm]
x38 213.28322448506398[nm]
y38 277.467248908297[nm]
z38 843.446859318182[nm]
theta38 -50.60927444644581[degrees]
a39 138.22243104308092[nm]
b39 64.98388101432118[nm]
c39 115.78429845642631[nm]
x39 530.2187199984792[nm]
y39 448.37979905516005[nm]
z39 855.1084239893977[nm]
theta39 -130.6711249328096[degrees]
a40 56.58529150736757[nm]
b40 16.959086634280354[nm]
c40 100[nm]
x40 808.1975973665085[nm]
y40 16.46145953571887[nm]
z40 847.5862693292731[nm]
theta40 -173.26398878588066[degrees]
a41 170.96202255724597[nm]
b41 93.0056498527612[nm]
c41 131.98383620500357[nm]
x41 1002.8559276569214[nm]
y41 110.18786581151555[nm]
z41 914.0169330407598[nm]
theta41 -2.5217596524536074[degrees]
a42 161.32490932447112[nm]
b42 108.73978204373621[nm]
c42 135.03234568410366[nm]
x42 879.1108326185548[nm]
y42 433.1239503027751[nm]
z42 912.1859210997236[nm]
theta42 -105.10350645777817[degrees]
a43 111.45261473676882[nm]
b43 54.242806799015774[nm]
c43 82.8477107678923[nm]
x43 403.1170270152061[nm]
y43 606.7472408916622[nm]
z43 810.0727084444468[nm]
theta43 -151.8070877357302[degrees]
a44 67.29301531316702[nm]
b44 34.98934198844109[nm]
c44 100[nm]
x44 735.1671649257376[nm]
y44 615.4194309127074[nm]
z44 855.6246306912949[nm]
theta44 -166.6947634939089[degrees]
a45 28.556111150907174[nm]
b45 17.27931344227136[nm]
c45 100[nm]
x45 46.64090739125016[nm]
y45 669.1237691636545[nm]
z45 923.3644000442497[nm]
theta45 -12.528807709151511[degrees]
a46 89.11342132236088[nm]
b46 68.61203715818327[nm]
c46 89.86990302608945[nm]
x46 1084.5440494590418[nm]
y46 800.4705174323974[nm]
z46 779.671007994601[nm]
theta46 -154.9981883271618[degrees]
a47 185.75482634224318[nm]
b47 101.07496467776365[nm]
c47 143.41489551000342[nm]
x47 684.185643720754[nm]
y47 866.2352770643703[nm]
z47 855.6779070278534[nm]
theta47 -176.44920608966152[degrees]
a48 144.59405504990696[nm]
b48 119.06563316137249[nm]
c48 153.28011569705995[nm]
x48 1129.6986632759758[nm]
y48 995.281936191375[nm]
z48 845.1213864586314[nm]
theta48 -169.84351797708516[degrees]
a49 171.83286996292233[nm]
b49 100.71852790318458[nm]
c49 139.0426476207055[nm]
x49 931.0509534018778[nm]
y49 1127.2377670978424[nm]
z49 896.5127708402647[nm]
theta49 -147.9946167919165[degrees]
a50 42.30236602731724[nm]
b50 16.10643780814274[nm]
c50 100[nm]
x50 19.211246644874965[nm]
y50 943.394722155784[nm]
z50 944.2314529663051[nm]
theta50 -105.78075330951539[degrees]
a51 94.78739539097947[nm]
b51 41.755003339251616[nm]
c51 100[nm]
x51 115.57719879369161[nm]
y51 43.55366589212439[nm]
z51 921.9826951301746[nm]
theta51 -12.673860005623133[degrees]
a52 223.0106054151975[nm]
b52 110.53802311421154[nm]
c52 166.77431426470451[nm]
x52 1357.0438584669753[nm]
y52 362.59766707096117[nm]
z52 878.870410416445[nm]
theta52 -165.52260429120585[degrees]
a53 100.56228479109764[nm]
b53 34.64350288683785[nm]
c53 67.60289383896774[nm]
x53 1231.8214334514882[nm]
y53 1219.2929999276603[nm]
z53 976.3372353565743[nm]
theta53 -24.986433204779875[degrees]
*****************
total_particles 53
total_volume_ellipsoids 280444129.8403055[nm^3]
x_length_prism 1801.7971601415672[nm]
y_length_prism 1431.6365843542537[nm]
z_length_prism 1049.6552232241636[nm]
x_position_prism -36.46783608004786[nm]
y_position_prism -80.82174116928499[nm]
volume_fraction 0.10357644400876584
number_particles_within_10nm_of_electrode 9
average_particle_electrode_distance 2.999102119775868[nm]
