a1 123.96726646383247[nm]
b1 80.71189440828456[nm]
c1 102.33958043605853[nm]
x1 87.49943038378461[nm]
y1 106.50273871476355[nm]
z1 170.8041646235816[nm]
theta1 -139.48743277847583[degrees]
a2 168.46501592642252[nm]
b2 97.36264467106734[nm]
c2 149.9504724639654[nm]
x2 982.3306783109031[nm]
y2 136.6318612002067[nm]
z2 170.8041646235816[nm]
theta2 -150.27166383095857[degrees]
a3 155.7974592363028[nm]
b3 134.8512579645084[nm]
c3 145.32435860040562[nm]
x3 1308.1000479831878[nm]
y3 135.67944801112725[nm]
z3 170.8041646235816[nm]
theta3 -50.0694201326125[degrees]
a4 150.70347551467862[nm]
b4 67.8073627452339[nm]
c4 123.25957111432524[nm]
x4 873.3272361127214[nm]
y4 301.4242592091647[nm]
z4 170.8041646235816[nm]
theta4 -109.14226819146627[degrees]
a5 71.7155496136407[nm]
b5 66.3569305142211[nm]
c5 69.0362400639309[nm]
x5 488.3303968285749[nm]
y5 372.318103551836[nm]
z5 170.8041646235816[nm]
theta5 -31.63066141213117[degrees]
a6 116.11197047236786[nm]
b6 57.97939022540045[nm]
c6 126.25396440864031[nm]
x6 1486.0723239635392[nm]
y6 487.13784057513817[nm]
z6 170.8041646235816[nm]
theta6 -5.276202086531967[degrees]
a7 221.08401655494467[nm]
b7 100.52431269221856[nm]
c7 160.8041646235816[nm]
x7 1129.7810667779265[nm]
y7 531.8540152396847[nm]
z7 170.8041646235816[nm]
theta7 -161.20242450311548[degrees]
a8 122.28123217945831[nm]
b8 84.34177503818957[nm]
c8 149.84645817405897[nm]
x8 1554.1313185448557[nm]
y8 658.0014204607348[nm]
z8 170.8041646235816[nm]
theta8 -115.09461189548601[degrees]
a9 172.5737461551135[nm]
b9 119.8951757161099[nm]
c9 146.2344609356117[nm]
x9 1364.3481416773225[nm]
y9 810.4160600267555[nm]
z9 170.8041646235816[nm]
theta9 -137.59784533583448[degrees]
a10 183.60432725245082[nm]
b10 98.55244881382612[nm]
c10 141.07838803313848[nm]
x10 358.90591760361036[nm]
y10 580.9711969241743[nm]
z10 170.8041646235816[nm]
theta10 -93.86918457636541[degrees]
a11 168.10025108893845[nm]
b11 86.92860488857369[nm]
c11 127.51442798875607[nm]
x11 1597.229072972581[nm]
y11 966.7691861308574[nm]
z11 170.8041646235816[nm]
theta11 -58.234413576138266[degrees]
a12 130.84857117519005[nm]
b12 72.71999710864652[nm]
c12 101.78428414191828[nm]
x12 369.11412241887905[nm]
y12 67.14799304677624[nm]
z12 170.8041646235816[nm]
theta12 -172.22610785012932[degrees]
a13 142.59875046367208[nm]
b13 60.4107899677027[nm]
c13 101.50477021568739[nm]
x13 608.8475266426008[nm]
y13 92.843688280302[nm]
z13 170.8041646235816[nm]
theta13 -24.179107146689176[degrees]
a14 221.08401655494467[nm]
b14 100.52431269221856[nm]
c14 160.8041646235816[nm]
x14 1129.7810667779265[nm]
y14 531.8540152396847[nm]
z14 170.8041646235816[nm]
theta14 -161.20242450311548[degrees]
*****************
total_particles 14
total_volume_ellipsoids 112897980.06046546[nm^3]
x_length_prism 1801.7971601415672[nm]
y_length_prism 1198.5700153482096[nm]
z_length_prism 342.6083292471632[nm]
x_position_prism -36.46783608004786[nm]
y_position_prism -63.70057812841381[nm]
volume_fraction 0.1525874965923029
