a1 123.96726646383247[nm]
b1 80.71189440828456[nm]
c1 102.33958043605853[nm]
x1 87.49943038378461[nm]
y1 106.50273871476355[nm]
z1 180.8041646235816[nm]
theta1 -139.48743277847583[degrees]
a2 168.46501592642252[nm]
b2 97.36264467106734[nm]
c2 149.9504724639654[nm]
x2 982.3306783109031[nm]
y2 136.6318612002067[nm]
z2 180.8041646235816[nm]
theta2 -150.27166383095857[degrees]
a3 155.7974592363028[nm]
b3 134.8512579645084[nm]
c3 145.32435860040562[nm]
x3 1308.1000479831878[nm]
y3 135.67944801112725[nm]
z3 180.8041646235816[nm]
theta3 -50.0694201326125[degrees]
a4 150.70347551467862[nm]
b4 67.8073627452339[nm]
c4 123.25957111432524[nm]
x4 873.3272361127214[nm]
y4 301.4242592091647[nm]
z4 180.8041646235816[nm]
theta4 -109.14226819146627[degrees]
a5 71.7155496136407[nm]
b5 66.3569305142211[nm]
c5 69.0362400639309[nm]
x5 488.3303968285749[nm]
y5 372.318103551836[nm]
z5 180.8041646235816[nm]
theta5 -31.63066141213117[degrees]
a6 116.11197047236786[nm]
b6 57.97939022540045[nm]
c6 126.25396440864031[nm]
x6 1486.0723239635392[nm]
y6 487.13784057513817[nm]
z6 180.8041646235816[nm]
theta6 -5.276202086531967[degrees]
a7 221.08401655494467[nm]
b7 100.52431269221856[nm]
c7 160.8041646235816[nm]
x7 1129.7810667779265[nm]
y7 531.8540152396847[nm]
z7 180.8041646235816[nm]
theta7 -161.20242450311548[degrees]
a8 122.28123217945831[nm]
b8 84.34177503818957[nm]
c8 149.84645817405897[nm]
x8 1554.1313185448557[nm]
y8 658.0014204607348[nm]
z8 180.8041646235816[nm]
theta8 -115.09461189548601[degrees]
a9 172.5737461551135[nm]
b9 119.8951757161099[nm]
c9 146.2344609356117[nm]
x9 1364.3481416773225[nm]
y9 810.4160600267555[nm]
z9 180.8041646235816[nm]
theta9 -137.59784533583448[degrees]
a10 183.60432725245082[nm]
b10 98.55244881382612[nm]
c10 141.07838803313848[nm]
x10 358.90591760361036[nm]
y10 580.9711969241743[nm]
z10 180.8041646235816[nm]
theta10 -93.86918457636541[degrees]
a11 168.10025108893845[nm]
b11 86.92860488857369[nm]
c11 127.51442798875607[nm]
x11 1597.229072972581[nm]
y11 966.7691861308574[nm]
z11 180.8041646235816[nm]
theta11 -58.234413576138266[degrees]
a12 130.84857117519005[nm]
b12 72.71999710864652[nm]
c12 101.78428414191828[nm]
x12 369.11412241887905[nm]
y12 67.14799304677624[nm]
z12 180.8041646235816[nm]
theta12 -172.22610785012932[degrees]
a13 142.59875046367208[nm]
b13 60.4107899677027[nm]
c13 101.50477021568739[nm]
x13 608.8475266426008[nm]
y13 92.843688280302[nm]
z13 180.8041646235816[nm]
theta13 -24.179107146689176[degrees]
a14 221.08401655494467[nm]
b14 100.52431269221856[nm]
c14 160.8041646235816[nm]
x14 1129.7810667779265[nm]
y14 531.8540152396847[nm]
z14 180.8041646235816[nm]
theta14 -161.20242450311548[degrees]
a15 176.23285299746684[nm]
b15 102.4142046589486[nm]
c15 170.34154183543072[nm]
x15 474.1197588897193[nm]
y15 191.32261421656622[nm]
z15 522.8452714768327[nm]
theta15 -51.670952674253876[degrees]
a16 131.27605391605454[nm]
b16 88.36633429763636[nm]
c16 117.82563781976845[nm]
x16 213.28322448506398[nm]
y16 277.467248908297[nm]
z16 522.8452714768327[nm]
theta16 -50.60927444644581[degrees]
a17 138.22243104308092[nm]
b17 70.34045058133532[nm]
c17 118.83640172610514[nm]
x17 530.2187199984792[nm]
y17 448.37979905516005[nm]
z17 522.8452714768327[nm]
theta17 -130.6711249328096[degrees]
a18 170.96202255724597[nm]
b18 93.1266147332835[nm]
c18 132.04431864526475[nm]
x18 1002.8559276569214[nm]
y18 110.18786581151555[nm]
z18 522.8452714768327[nm]
theta18 -2.5217596524536074[degrees]
a19 161.32490932447112[nm]
b19 104.24557144150363[nm]
c19 132.78524038298738[nm]
x19 879.1108326185548[nm]
y19 433.1239503027751[nm]
z19 522.8452714768327[nm]
theta19 -105.10350645777817[degrees]
a20 88.22228710913727[nm]
