a1 224.4727378102044[nm]
b1 128.3381973462805[nm]
c1 183.64168260311894[nm]
x1 590.8097600900303[nm]
y1 143.6509966409194[nm]
z1 184.64168260311894[nm]
theta1 -158.0978596407897[degrees]
a2 167.95575111230593[nm]
b2 116.71643778910794[nm]
c2 151.18331973463887[nm]
x2 274.6185102278307[nm]
y2 225.19127647811584[nm]
z2 196.18331973463887[nm]
theta2 -102.89875110416445[degrees]
a3 175.3002679695411[nm]
b3 108.93256994796495[nm]
c3 150.94998981037685[nm]
x3 531.7295469346958[nm]
y3 395.76119777246083[nm]
z3 184.94998981037685[nm]
theta3 -176.4576388078063[degrees]
a4 140.81933912385512[nm]
b4 100.25327740563792[nm]
c4 125.48075050274936[nm]
x4 895.5926809071046[nm]
y4 125.20427811754845[nm]
z4 170.48075050274934[nm]
theta4 -125.41705527646744[degrees]
a5 131.9603819328522[nm]
b5 72.98004481592754[nm]
c5 133.0707427662995[nm]
x5 1249.0590940578031[nm]
y5 718.6922821529141[nm]
z5 224.0707427662995[nm]
theta5 -69.59979060515747[degrees]
a6 158.96229391191767[nm]
b6 74.13584439336549[nm]
c6 116.54906915264158[nm]
x6 981.0207920417104[nm]
y6 790.0963225733151[nm]
z6 211.54906915264158[nm]
theta6 -23.28235621348973[degrees]
a7 158.88442744557406[nm]
b7 57.83935858005879[nm]
c7 140.72184604605957[nm]
x7 1196.834170366125[nm]
y7 932.3525316599155[nm]
z7 179.72184604605957[nm]
theta7 -124.78063476099481[degrees]
a8 76.00322319852704[nm]
b8 55.62212664640018[nm]
c8 100[nm]
x8 1639.8706172286322[nm]
y8 638.2556663306076[nm]
z8 215[nm]
theta8 -117.75854060106002[degrees]
a9 51.344595849096336[nm]
b9 43.466554655726775[nm]
c9 100[nm]
x9 483.98605187480035[nm]
y9 649.4477709395535[nm]
z9 102[nm]
theta9 -141.6486451832689[degrees]
a10 149.74460728754212[nm]
b10 37.93199499141202[nm]
c10 93.83830113947707[nm]
x10 680.7042163387699[nm]
y10 843.5072771154831[nm]
z10 207.83830113947707[nm]
theta10 -72.63587563186496[degrees]
a11 149.22595072034957[nm]
b11 79.26407930056513[nm]
c11 114.24501501045735[nm]
x11 1593.300358319307[nm]
y11 972.3350646936732[nm]
z11 222.24501501045734[nm]
theta11 -92.20912759530029[degrees]
a12 35.09270806884664[nm]
b12 25.970850603237505[nm]
c12 100[nm]
x12 576.4723832773878[nm]
y12 889.6486333318803[nm]
z12 145[nm]
theta12 -23.008870082822874[degrees]
a13 65.79245781757825[nm]
b13 34.61806193640469[nm]
c13 100[nm]
x13 815.4137448836901[nm]
y13 967.3525839278971[nm]
z13 178[nm]
theta13 -145.13425128739567[degrees]
a14 85.85097101315534[nm]
b14 49.56542288474494[nm]
c14 100[nm]
x14 496.4116174512939[nm]
y14 1133.0045796669485[nm]
z14 250[nm]
theta14 -90.88594659385424[degrees]
a15 92.58895814054318[nm]
b15 38.4752260324396[nm]
c15 100[nm]
x15 1129.8063730534404[nm]
y15 1160.727515949784[nm]
z15 114[nm]
theta15 -149.88152970314056[degrees]
a16 137.38343542419705[nm]
b16 62.95796051354688[nm]
c16 104.27973562879151[nm]
x16 1482.261022084031[nm]
y16 232.74899053139555[nm]
z16 111.27973562879151[nm]
theta16 -87.87234276751322[degrees]
a17 77.60411068457965[nm]
b17 20.024262830061524[nm]
c17 100[nm]
x17 1633.1200951744868[nm]
y17 285.67895308064783[nm]
z17 176[nm]
theta17 -135.9240453527727[degrees]
a18 143.49323408986047[nm]
b18 81.84910107205081[nm]
c18 117.2929789505951[nm]
x18 1471.3678960807881[nm]
y18 459.93789484039576[nm]
z18 227.2929789505951[nm]
theta18 -21.54928447119382[degrees]
a19 79.30729349086249[nm]
b19 37.87000612527365[nm]
c19 100[nm]
x19 1659.4207368958475[nm]
y19 445.764550714772[nm]
z19 198[nm]
theta19 -83.27148790623133[degrees]
a20 90.31425162236573[nm]
b20 48.06438570744717[nm]
c20 100[nm]
x20 1082.094851442995[nm]
y20 278.74357570781257[nm]
z20 218[nm]
theta20 -84.03166780248307[degrees]
a21 203.72403360026772[nm]
b21 126.01943382890359[nm]
c21 178.67535268441964[nm]
x21 965.6452621735604[nm]
y21 481.7212358416369[nm]
z21 188.67535268441964[nm]
theta21 -3.5620086397006583[degrees]
a22 150[nm]
b22 99[nm]
c22 100[nm]
x22 350[nm]
y22 900[nm]
z22 122[nm]
theta22 0[degrees]
a23 150[nm]
b23 100[nm]
c23 100[nm]
x23 1250[nm]
y23 100[nm]
z23 209[nm]
theta23 0[degrees]
a24 130[nm]
b24 75[nm]
c24 100[nm]
x24 750[nm]
y24 1100[nm]
z24 205[nm]
theta24 0[degrees]
a25 150[nm]
b25 80[nm]
c25 100[nm]
x25 275[nm]
y25 600[nm]
z25 111[nm]
theta25 90[degrees]
a26 100[nm]
b26 90[nm]
c26 100[nm]
x26 275[nm]
y26 1100[nm]
z26 162[nm]
theta26 0[degrees]
a27 100[nm]
b27 90[nm]
c27 100[nm]
x27 1000[nm]
y27 1000[nm]
z27 207[nm]
theta27 0[degrees]
a28 120[nm]
b28 80[nm]
c28 100[nm]
x28 1275[nm]
y28 350[nm]
z28 218[nm]
theta28 90[degrees]
a29 120[nm]
b29 80[nm]
c29 100[nm]
x29 1475[nm]
y29 725[nm]
z29 120[nm]
theta29 90[degrees]
a30 100[nm]
b30 60[nm]
c30 100[nm]
x30 625[nm]
y30 620[nm]
z30 263[nm]
theta30 90[degrees]
a31 100[nm]
b31 70[nm]
c31 100[nm]
x31 1400[nm]
y31 1100[nm]
z31 151[nm]
theta31 90[degrees]
*****************
total_particles 31
total_volume_ellipsoids 160949258.23097426[nm^3]
x_length_prism 1635.8635499241318[nm]
y_length_prism 1334.138215259612[nm]
z_length_prism 369.2833652062379[nm]
x_position_prism 106.66275911552478[nm]
y_position_prism -80.82174116928499[nm]
volume_fraction 0.19970150356740504
