a1 586.6845700393204[nm]
b1 385.7222887360514[nm]
c1 491.1145751390767[nm]
x1 1011.0425525358969[nm]
y1 468.29358476613055[nm]
z1 492.1145751390767[nm]
theta1 -135.9495668564358[degrees]
a2 528.391658903604[nm]
b2 86.1471947496685[nm]
c2 307.2694268266363[nm]
x2 1712.6664510216185[nm]
y2 108.84683810448003[nm]
z2 580.2694268266363[nm]
theta2 -173.96471760338775[degrees]
a3 770.9584483046708[nm]
b3 183.35320692882271[nm]
c3 477.15582761674676[nm]
x3 6717.96395325807[nm]
y3 556.563534504711[nm]
z3 486.15582761674676[nm]
theta3 -45.36493633573065[degrees]
a4 395.0270649337566[nm]
b4 116.24888453231222[nm]
c4 255.6379747330344[nm]
x4 768.551508753409[nm]
y4 1403.3056215360255[nm]
z4 295.6379747330344[nm]
theta4 -35.45961819515736[degrees]
a5 247.59863493001006[nm]
b5 200.4287456897474[nm]
c5 250[nm]
x5 6079.338954338955[nm]
y5 1488.6039886039887[nm]
z5 359[nm]
theta5 -76.48343189120868[degrees]
a6 489.2973181709389[nm]
b6 432.9446361327326[nm]
c6 461.12097715183575[nm]
x6 7798.030752392049[nm]
y6 2633.6766938530523[nm]
z6 497.12097715183575[nm]
theta6 -159.5074052301297[degrees]
a7 335.64814814814815[nm]
b7 253.24751158935456[nm]
c7 294.44782986875134[nm]
x7 5808.293650793651[nm]
y7 3909.3518518518517[nm]
z7 524.4478298687513[nm]
theta7 -53.13010235415598[degrees]
a8 416.38364873698885[nm]
b8 295.08214777736026[nm]
c8 355.73289825717455[nm]
x8 7538.177083333333[nm]
y8 4035.2199074074074[nm]
z8 425.73289825717455[nm]
theta8 -41.84515713520803[degrees]
a9 574.7317394745104[nm]
b9 295.7894971289498[nm]
c9 435.2606183017301[nm]
x9 6043.65389627313[nm]
y9 5444.270697593606[nm]
z9 457.2606183017301[nm]
theta9 -107.34025823106899[degrees]
a10 343.50635148663525[nm]
b10 310.60812790731194[nm]
c10 327.0572396969736[nm]
x10 1391.6494954298091[nm]
y10 5579.740582237016[nm]
z10 539.0572396969736[nm]
theta10 -50.19442890773481[degrees]
a11 498.8466206763553[nm]
b11 348.6160296736291[nm]
c11 423.7313251749922[nm]
x11 5005.237657512735[nm]
y11 6086.220268872802[nm]
z11 525.7313251749922[nm]
theta11 -33.83754668421933[degrees]
a12 242.87912467807845[nm]
b12 98.97017743718494[nm]
c12 250[nm]
x12 9371.631944444445[nm]
y12 6247.951388888889[nm]
z12 613[nm]
theta12 -79.01134890350603[degrees]
a13 324.1071411701322[nm]
b13 281.55228763438174[nm]
c13 302.82971440225697[nm]
x13 8325.857390623252[nm]
y13 8150.0853194584315[nm]
z13 544.829714402257[nm]
theta13 -45.57872556560776[degrees]
a14 278.2884965487892[nm]
b14 264.21357543296807[nm]
c14 271.2510359908787[nm]
x14 1129.0972222222222[nm]
y14 8173.132716049384[nm]
z14 633.2510359908787[nm]
theta14 -78.97046877601952[degrees]
a15 423.76919737926005[nm]
b15 276.6373193319873[nm]
c15 350.2032583556237[nm]
x15 4200.211575211575[nm]
y15 8654.722904722905[nm]
z15 590.2032583556237[nm]
theta15 -114.18493403363269[degrees]
a16 805.1596781625494[nm]
b16 129.95989673720555[nm]
c16 467.5597874498775[nm]
x16 3331.270128824477[nm]
y16 9251.50630703167[nm]
z16 482.5597874498775[nm]
theta16 -176.0434804154554[degrees]
a17 594.1620507062273[nm]
b17 172.43890875907766[nm]
c17 497.7649393033354[nm]
x17 289.0339927021318[nm]
y17 704.8844504193073[nm]
z17 1481.9940895814889[nm]
theta17 -75.21923694832206[degrees]
a18 232.4252203246586[nm]
b18 184.01037394569755[nm]
c18 250[nm]
x18 3018.505285298242[nm]
y18 319.3088663574587[nm]
