a1 319.133314649823[nm]
b1 239.35762898968622[nm]
c1 279.2454718197546[nm]
x1 407.7904815523918[nm]
y1 298.00898937568394[nm]
z1 297.90139215618126[nm]
theta1 -28.30613615659185[degrees]
volume1 89349919.57617177[nm^3]
a2 166.137332596162[nm]
b2 87.4372558453537[nm]
c2 126.78729422075784[nm]
x2 1000.5263677336579[nm]
y2 110.22422325511447[nm]
z2 297.90139215618126[nm]
theta2 -173.4238857894455[degrees]
volume2 7714860.818111894[nm^3]
a3 105.10596035592658[nm]
b3 58.19887804409693[nm]
c3 81.65241920001176[nm]
x3 56.56541497249462[nm]
y3 240.6103005660528[nm]
z3 297.90139215618126[nm]
theta3 -112.7868534699164[degrees]
volume3 2092182.778771699[nm^3]
a4 232.96911895039875[nm]
b4 83.02682032769287[nm]
c4 157.9979696390458[nm]
x4 1355.6836157523899[nm]
y4 358.8121546144544[nm]
z4 297.90139215618126[nm]
theta4 -164.35356188433704[degrees]
volume4 12801382.63000726[nm^3]
a5 161.32490932447112[nm]
b5 104.24557144150363[nm]
c5 132.78524038298738[nm]
x5 882.4485343214243[nm]
y5 431.2894397788081[nm]
z5 297.90139215618126[nm]
theta5 -105.10350645777817[degrees]
volume5 9354001.978913445[nm^3]
a6 138.3435225141767[nm]
b6 51.504500805831434[nm]
c6 94.92401166000407[nm]
x6 114.31528624641156[nm]
y6 425.98104344112556[nm]
z6 297.90139215618126[nm]
theta6 -136.55515950506717[degrees]
volume6 2833144.36619505[nm^3]
a7 111.45261473676882[nm]
b7 56.833867504994075[nm]
c7 84.14324112088144[nm]
x7 403.6671755946136[nm]
y7 606.2019262078597[nm]
z7 297.90139215618126[nm]
theta7 -151.8070877357302[degrees]
volume7 2232571.2002882776[nm^3]
a8 247.212512137026[nm]
b8 114.09152821759689[nm]
c8 180.65202017731144[nm]
x8 1480.136601019897[nm]
y8 779.5187611234235[nm]
z8 297.90139215618126[nm]
theta8 -115.32666435424083[degrees]
volume8 21342990.79554148[nm^3]
a9 300.20909256051965[nm]
b9 124.22285633436434[nm]
c9 212.215974447442[nm]
x9 1058.7466072063235[nm]
y9 985.0349753097942[nm]
z9 297.90139215618126[nm]
theta9 -60.41223653458138[degrees]
volume9 33150648.927826785[nm^3]
a10 185.75482634224318[nm]
b10 100.66152871296889[nm]
c10 143.20817752760604[nm]
x10 681.4250361307438[nm]
y10 857.8772940547605[nm]
z10 297.90139215618126[nm]
theta10 -176.44920608966152[degrees]
volume10 11216569.596252134[nm^3]
a11 82.16755781551193[nm]
b11 52.47608527141778[nm]
c11 67.32182154346485[nm]
x11 926.995031827356[nm]
y11 852.1299099518709[nm]
z11 297.90139215618126[nm]
theta11 -112.14518003822329[degrees]
volume11 1215923.566213004[nm^3]
a12 88.04420286824498[nm]
b12 56.839034611679956[nm]
c12 72.44161873996246[nm]
x12 746.346966435462[nm]
y12 1009.0432910786893[nm]
z12 297.90139215618126[nm]
theta12 -131.94440654224707[degrees]
volume12 1518532.930545072[nm^3]
a13 203.62108804798768[nm]
b13 70.85174832300211[nm]
c13 137.2364181854949[nm]
x13 1301.2740590124542[nm]
y13 1176.5285704383189[nm]
z13 297.90139215618126[nm]
theta13 -26.453689258002782[degrees]
volume13 8293375.109389067[nm^3]
a14 166.20272441398598[nm]
b14 75.72062239344315[nm]
c14 120.96167340371457[nm]
x14 1550.5445516350792[nm]
y14 1186.4355843366632[nm]
z14 297.90139215618126[nm]
theta14 -34.91704212203877[degrees]
volume14 6376593.1625638055[nm^3]
a15 233.68068935681336[nm]
b15 101.92850282579266[nm]
c15 167.804596091303[nm]
x15 590.8097600900303[nm]
y15 143.6509966409194[nm]
z15 756.4441338985239[nm]
theta15 -158.0978596407897[degrees]
volume15 16742138.539672974[nm^3]
a16 143.82232710747797[nm]
b16 125.48363639369234[nm]
c16 134.65298175058516[nm]
x16 887.4482178418156[nm]
y16 128.35798643280833[nm]
z16 756.4441338985239[nm]
theta16 -127.75130164242617[degrees]
volume16 10179301.815278884[nm^3]
a17 178.3954247141215[nm]
b17 123.84638789191955[nm]
c17 151.12090630302052[nm]
x17 274.6185102278307[nm]
y17 225.19127647811584[nm]
z17 756.4441338985239[nm]
theta17 -102.89875110416445[degrees]
volume17 13985571.411089381[nm^3]
a18 143.01895281055462[nm]
b18 65.5405184470284[nm]
c18 104.27973562879151[nm]
x18 1482.261022084031[nm]
y18 232.74899053139555[nm]
z18 756.4441338985239[nm]
theta18 -87.87234276751322[degrees]
volume18 4094416.295806285[nm^3]
a19 97.87566611624727[nm]
b19 52.36403656291695[nm]
c19 75.11985133958211[nm]
x19 1082.094851442995[nm]
y19 278.74357570781257[nm]
z19 756.4441338985239[nm]
theta19 -84.03166780248307[degrees]
volume19 1612691.0558199869[nm^3]
