a1 123.96726646383247[nm]
b1 80.71189440828456[nm]
c1 163.28316384725622[nm]
x1 87.49943038378461[nm]
y1 106.50273871476355[nm]
z1 164.28316384725622[nm]
theta1 -139.48743277847583[degrees]
a2 271.15050024260574[nm]
b2 55.41582745190671[nm]
c2 163.28316384725622[nm]
x2 513.072440640263[nm]
y2 95.88169157115915[nm]
z2 164.28316384725622[nm]
theta2 -157.95551896792676[degrees]
a3 190.05854150044047[nm]
b3 109.84240342749035[nm]
c3 163.28316384725622[nm]
x3 982.3306783109031[nm]
y3 136.6318612002067[nm]
z3 164.28316384725622[nm]
theta3 -150.27166383095857[degrees]
a4 155.7974592363028[nm]
b4 134.8512579645084[nm]
c4 163.28316384725622[nm]
x4 1308.1000479831878[nm]
y4 135.67944801112725[nm]
z4 164.28316384725622[nm]
theta4 -50.0694201326125[degrees]
a5 222.86350439881437[nm]
b5 100.03229958437342[nm]
c5 163.28316384725622[nm]
x5 170.2333978683352[nm]
y5 376.9626791181259[nm]
z5 164.28316384725622[nm]
theta5 -85.33082776944293[degrees]
a6 170.02036059449182[nm]
b6 76.49878163415866[nm]
c6 163.28316384725622[nm]
x6 873.3272361127214[nm]
y6 301.4242592091647[nm]
z6 164.28316384725622[nm]
theta6 -109.14226819146627[degrees]
a7 70.36650414530214[nm]
b7 52.58789523895891[nm]
c7 163.28316384725622[nm]
x7 1179.7277222469813[nm]
y7 288.47435326075424[nm]
z7 164.28316384725622[nm]
theta7 -35.78897345918333[degrees]
a8 71.7155496136407[nm]
b8 66.3569305142211[nm]
c8 163.28316384725622[nm]
x8 488.3303968285749[nm]
y8 372.318103551836[nm]
z8 164.28316384725622[nm]
theta8 -31.63066141213117[degrees]
a9 66.6381083269946[nm]
b9 45.5558855795885[nm]
c9 163.28316384725622[nm]
x9 1181.6658785381342[nm]
y9 951.8036884415322[nm]
z9 164.28316384725622[nm]
theta9 -52.8257451664089[degrees]
a10 221.08401655494467[nm]
b10 100.52431269221856[nm]
c10 163.28316384725622[nm]
x10 1129.7810667779265[nm]
y10 531.8540152396847[nm]
z10 164.28316384725622[nm]
theta10 -161.20242450311548[degrees]
a11 177.36078658414354[nm]
b11 122.3321297639744[nm]
c11 163.28316384725622[nm]
x11 1554.1313185448557[nm]
y11 658.0014204607348[nm]
z11 164.28316384725622[nm]
theta11 -115.09461189548601[degrees]
a12 172.5737461551135[nm]
b12 119.8951757161099[nm]
c12 163.28316384725622[nm]
x12 1364.3481416773225[nm]
y12 810.4160600267555[nm]
z12 164.28316384725622[nm]
theta12 -137.59784533583448[degrees]
a13 168.10025108893845[nm]
b13 86.4690532667062[nm]
c13 163.28316384725622[nm]
x13 1596.5916856655545[nm]
y13 967.4059483268537[nm]
z13 164.28316384725622[nm]
theta13 -58.234413576138266[degrees]
a14 183.60432725245082[nm]
b14 98.55244881382612[nm]
c14 163.28316384725622[nm]
x14 358.90591760361036[nm]
y14 580.9711969241743[nm]
z14 164.28316384725622[nm]
theta14 -93.86918457636541[degrees]
a15 168.10025108893845[nm]
b15 86.92860488857369[nm]
c15 163.28316384725622[nm]
x15 1597.229072972581[nm]
y15 966.7691861308574[nm]
z15 164.28316384725622[nm]
theta15 -58.234413576138266[degrees]
*****************
total_particles 15
total_volume_ellipsoids 154278825.89705694[nm^3]
x_length_prism 1817.9594305919986[nm]
y_length_prism 1310.7750080872388[nm]
z_length_prism 328.56632769451244[nm]
x_position_prism -52.63010653047917[nm]
y_position_prism -175.2688086714466[nm]
volume_fraction 0.19704750112663794
