a1 92.58895814054318[nm]
b1 47.63166952494828[nm]
c1 223.98502108716747[nm]
x1 1129.8063730534404[nm]
y1 1160.727515949784[nm]
z1 224.98502108716747[nm]
theta1 -149.88152970314056[degrees]
a2 143.82232710747797[nm]
b2 125.48363639369234[nm]
c2 223.98502108716747[nm]
x2 887.4482178418156[nm]
y2 128.35798643280833[nm]
z2 224.98502108716747[nm]
theta2 -127.75130164242617[degrees]
a3 178.3954247141215[nm]
b3 123.84638789191955[nm]
c3 223.98502108716747[nm]
x3 274.6185102278307[nm]
y3 225.19127647811584[nm]
z3 224.98502108716747[nm]
theta3 -102.89875110416445[degrees]
a4 186.1964568037603[nm]
b4 117.18314611302677[nm]
c4 223.98502108716747[nm]
x4 531.7295469346958[nm]
y4 395.76119777246083[nm]
z4 224.98502108716747[nm]
theta4 -176.4576388078063[degrees]
a5 146.59579850207282[nm]
b5 134.08904925547537[nm]
c5 223.98502108716747[nm]
x5 895.5926809071046[nm]
y5 125.20427811754845[nm]
z5 224.98502108716747[nm]
theta5 -125.41705527646744[degrees]
a6 250.19571006598363[nm]
b6 161.64074741245867[nm]
c6 223.98502108716747[nm]
x6 1526.474010346592[nm]
y6 353.5337590722177[nm]
z6 224.98502108716747[nm]
theta6 -121.32869286780416[degrees]
a7 275.3855185091013[nm]
b7 172.58452366523363[nm]
c7 223.98502108716747[nm]
x7 999.5743281868345[nm]
y7 424.4919539440272[nm]
z7 224.98502108716747[nm]
theta7 -51.78589647303888[degrees]
a8 171.36751706928675[nm]
b8 94.22701171150217[nm]
c8 223.98502108716747[nm]
x8 1249.0590940578031[nm]
y8 718.6922821529141[nm]
z8 224.98502108716747[nm]
theta8 -69.59979060515747[degrees]
a9 158.96229391191767[nm]
b9 88.63926387864245[nm]
c9 223.98502108716747[nm]
x9 981.0207920417104[nm]
y9 790.0963225733151[nm]
z9 224.98502108716747[nm]
theta9 -23.28235621348973[degrees]
a10 206.3318507684981[nm]
b10 72.42053119491953[nm]
c10 223.98502108716747[nm]
x10 1196.834170366125[nm]
y10 932.3525316599155[nm]
z10 224.98502108716747[nm]
theta10 -124.78063476099481[degrees]
a11 79.98575525149077[nm]
b11 45.28431947610878[nm]
c11 223.98502108716747[nm]
x11 1138.0539466308835[nm]
y11 1164.4140777606035[nm]
z11 224.98502108716747[nm]
theta11 -118.40809130832014[degrees]
a12 76.00322319852704[nm]
b12 57.83102896670434[nm]
c12 223.98502108716747[nm]
x12 1639.8706172286322[nm]
y12 638.2556663306076[nm]
z12 224.98502108716747[nm]
theta12 -117.75854060106002[degrees]
a13 51.344595849096336[nm]
b13 46.07934944524721[nm]
c13 223.98502108716747[nm]
x13 483.98605187480035[nm]
y13 649.4477709395535[nm]
z13 224.98502108716747[nm]
theta13 -141.6486451832689[degrees]
a14 149.22595072034957[nm]
b14 80.13248681809766[nm]
c14 223.98502108716747[nm]
x14 1593.300358319307[nm]
y14 972.3350646936732[nm]
z14 224.98502108716747[nm]
theta14 -92.20912759530029[degrees]
a15 85.85097101315534[nm]
b15 49.56542288474494[nm]
c15 223.98502108716747[nm]
x15 496.4116174512939[nm]
y15 1133.0045796669485[nm]
z15 224.98502108716747[nm]
theta15 -90.88594659385424[degrees]
a16 223.38078269592663[nm]
b16 64.1577662314756[nm]
c16 187.096564123485[nm]
x16 1307.4782824416052[nm]
y16 1170.393974259721[nm]
z16 637.0666062978199[nm]
theta16 -24.33124191693506[degrees]
a17 215.46809899325092[nm]
b17 125.21498467761052[nm]
c17 187.096564123485[nm]
x17 474.1197588897193[nm]
y17 191.32261421656622[nm]
z17 637.0666062978199[nm]
theta17 -51.670952674253876[degrees]
a18 102.42765517094033[nm]
b18 56.70626316318866[nm]
c18 187.096564123485[nm]
x18 59.70779946183811[nm]
y18 240.06974733590437[nm]
z18 637.0666062978199[nm]
theta18 -108.90457584261165[degrees]
a19 140.84425969793108[nm]
b19 94.80701594160583[nm]
c19 187.096564123485[nm]
x19 213.28322448506398[nm]
y19 277.467248908297[nm]
z19 637.0666062978199[nm]
theta19 -50.60927444644581[degrees]
a20 157.51466622497483[nm]
b20 80.15813722723544[nm]
c20 187.096564123485[nm]
x20 530.2187199984792[nm]
y20 448.37979905516005[nm]
z20 637.0666062978199[nm]
theta20 -130.6711249328096[degrees]
a21 170.96202255724597[nm]
b21 93.1266147332835[nm]
c21 187.096564123485[nm]
x21 1002.8559276569214[nm]
y21 110.18786581151555[nm]
z21 637.0666062978199[nm]
theta21 -2.5217596524536074[degrees]
a22 232.96911895039875[nm]
b22 104.74302787003776[nm]
c22 187.096564123485[nm]
x22 1351.1030476214455[nm]
y22 359.49407721648055[nm]
z22 637.0666062978199[nm]
theta22 -164.35356188433704[degrees]
a23 161.32490932447112[nm]
b23 104.24557144150363[nm]
c23 187.096564123485[nm]
x23 879.1108326185548[nm]
y23 433.1239503027751[nm]
z23 637.0666062978199[nm]
theta23 -105.10350645777817[degrees]
a24 111.45261473676882[nm]
b24 56.833867504994075[nm]
c24 187.096564123485[nm]
x24 403.1170270152061[nm]
y24 606.7472408916622[nm]
z24 637.0666062978199[nm]
theta24 -151.8070877357302[degrees]
a25 248.95938172505805[nm]
b25 125.23374652191191[nm]
c25 187.096564123485[nm]
x25 1476.8228329501965[nm]
y25 783.4233048457241[nm]
z25 637.0666062978199[nm]
theta25 -113.23870423837512[degrees]
a26 185.75482634224318[nm]
b26 100.66152871296889[nm]
c26 187.096564123485[nm]
x26 684.185643720754[nm]
y26 866.2352770643703[nm]
z26 637.0666062978199[nm]
theta26 -176.44920608966152[degrees]
a27 168.12121441482188[nm]
b27 140.18241028230673[nm]
c27 187.096564123485[nm]
x27 1129.6986632759758[nm]
y27 995.281936191375[nm]
z27 637.0666062978199[nm]
theta27 -169.84351797708516[degrees]
a28 175.32177325060945[nm]
b28 104.59338420783868[nm]
c28 187.096564123485[nm]
x28 931.0509534018778[nm]
y28 1127.2377670978424[nm]
z28 637.0666062978199[nm]
theta28 -147.9946167919165[degrees]
a29 100.56228479109764[nm]
b29 44.428833154199005[nm]
c29 187.096564123485[nm]
x29 1231.8214334514882[nm]
y29 1219.2929999276603[nm]
z29 637.0666062978199[nm]
theta29 -24.986433204779875[degrees]
a30 178.62191202086638[nm]
b30 86.53808502481392[nm]
c30 187.096564123485[nm]
x30 1562.5046065853287[nm]
y30 1172.1929311641024[nm]
z30 637.0666062978199[nm]
theta30 -41.78676775828062[degrees]
*****************
total_particles 30
total_volume_ellipsoids 425170337.79981124[nm^3]
x_length_prism 1783.8463743152972[nm]
y_length_prism 1454.548913701378[nm]
z_length_prism 825.1631704213049[nm]
x_position_prism -42.71985570910222[nm]
y_position_prism -60.77415674573042[nm]
volume_fraction 0.1985808393426436
